sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[1 7 7],[h o o],1265,22395.97477246302,2.0986501591361728e+07,2.1008897566134192e+07
[1 7 8],[h o n],671,22288.93837062015,2.099293611477667e+07,2.101522505314729e+07
[1 7 12],[h o r],1488,22407.759812377168,2.099422807616234e+07,2.1016635835974716e+07
[1 7 16],[h o s],1567,22194.11811945813,2.098910067842175e+07,2.101129479654121e+07
[1 7 20],[h o p],636,22326.42462518384,2.099222828380967e+07,2.1014554708434854e+07
[1 7 21],[h o m],1111,22209.503739252938,2.0993180210425742e+07,2.1015389714164995e+07
[1 7 26],[h o w],2443,22375.69258496904,2.0983427885338135e+07,2.1005803577923104e+07
[1 10 3],[h y  ],880,22501.72655284279,2.09930235843317e+07,2.1015525310884543e+07
[1 12 2],[h r e],999,22109.195615037846,2.0989930319612075e+07,2.1012039515227113e+07
[1 12 7],[h r o],1515,22180.093919525418,2.098732937141937e+07,2.1009509465338897e+07
[1 13 0],[h a t],13333,22285.308337538703,2.095162729079836e+07,2.0973912599135898e+07
[1 13 6],[h a l],1231,22413.52570080528,2.0992569875471342e+07,2.1014983401172146e+07
[1 13 8],[h a n],4693,22493.541268742956,2.09990095565713e+07,2.1021503097840045e+07
[1 13 12],[h a r],2577,22573.739839581107,2.098999577092604e+07,2.101256951076562e+07
[1 13 14],[h a d],5373,22173.75091098726,2.0974117720061194e+07,2.099629147097218e+07
[1 13 16],[h a s],2874,22246.231271736327,2.0990127336238764e+07,2.10123735675105e+07
[1 13 18],[h a v],4472,22019.0633997478,2.097432176745944e+07,2.0996340830859188e+07
[1 13 20],[h a p],1112,22148.40513760689,2.0988333367818058e+07,2.1010481772955664e+07
[1 17 0],[h i t],758,22359.390040170834,2.0993379193401795e+07,2.1015738583441965e+07
[1 17 6],[h i l],2133,22414.645200682528,2.0988445771046568e+07,2.101086041624725e+07
[1 17 8],[h i n],5197,22339.039982046143,2.0991852022684958e+07,2.1014191062667005e+07
[1 17 9],[h i c],4226,22181.241407143887,2.0972067324709106e+07,2.099424856611625e+07
[1 17 11],[h i g],1050,22090.055018543502,2.098966995284114e+07,2.1011760007859685e+07
[1 17 16],[h i s],12837,22221.273900443302,2.0960260933650836e+07,2.098248220755128e+07
[1 17 20],[h i p],988,22169.86107107429,2.0986658241783164e+07,2.1008828102854237e+07
[1 17 21],[h i m],3281,22116.709929077642,2.0976726942004558e+07,2.0998843651933637e+07
[2 0 0],[e t t],1874,22506.76921484811,2.0984932826371405e+07,2.1007439595586255e+07
[2 0 1],[e t h],1836,22453.59817041556,2.099498683146894e+07,2.1017440429639354e+07
[2 0 2],[e t e],1877,22536.6209236955,2.0991536960439615e+07,2.101407358136331e+07
[2 0 3],[e t  ],4749,22955.293790880416,2.0988242565085694e+07,2.1011197858876575e+07
[2 0 13],[e t a],912,22509.014207114295,2.0991804996393666e+07,2.101431401060078e+07
[2 0 16],[e t s],726,22383.80124801916,2.0991993355568163e+07,2.101437715681618e+07
[2 0 17],[e t i],1457,22496.019134323964,2.0992923352026973e+07,2.1015419371161297e+07
[2 0 26],[e t w],780,21965.160099343648,2.0987079890844066e+07,2.100904505094341e+07
[2 2 0],[e e t],1386,22262.49844457566,2.0989319517719235e+07,2.101158201616381e+07
[2 2 3],[e e  ],2579,22821.779346602903,2.0995319774031647e+07,2.101814155337825e+07
[2 2 6],[e e l],853,22189.356465736037,2.099051573684311e+07,2.1012705093308844e+07
[2 2 8],[e e n],4283,22337.915197132894,2.0972992087366406e+07,2.099533000256354e+07
[2 2 14],[e e d],1918,22300.36926533415,2.0990830743916985e+07,2.1013131113182317e+07
[2 2 16],[e e s],604,22305.66652494731,2.0993657085584894e+07,2.101596275210984e+07
[2 2 20],[e e p],932,22252.63899381177,2.0987944919849634e+07,2.1010197558843445e+07
[2 2 21],[e e m],1050,22033.36211673426,2.098868453232181e+07,2.1010717894438546e+07
[2 2 22],[e e k],827,22133.979619947033,2.0986477322516333e+07,2.100861130213628e+07
[2 3 0],[e   t],18400,22527.420851116953,2.10095272955756e+07,2.1032054716426715e+07
[2 3 1],[e   h],8458,22444.917285721032,2.0996492005051456e+07,2.101893692233718e+07
[2 3 2],[e   e],5480,22704.536736245605,2.0985595617372982e+07,2.100830015410923e+07
[2 3 4],[e   f],8916,22572.833062452515,2.0989084247221395e+07,2.1011657080283847e+07
