sequence,sequence_as_text,freq,dl_model,dl_data,dl_total
[21 7 18 2],[m o v e],709,22007.37739535775,2.099110547199069e+07,2.1013112849386048e+07
[21 12 23 3],[m r .  ],844,22516.272814696906,2.098238688484327e+07,2.100490315765797e+07
[21 13 0 2],[m a t e],835,22295.417292187456,2.0991795116627734e+07,2.1014090533919923e+07
[21 13 0 17],[m a t i],838,22190.91346921647,2.09902132238663e+07,2.1012404137335517e+07
[21 13 6 6],[m a l l],730,22087.866031801866,2.098864762290254e+07,2.101073548893434e+07
[21 13 8 3],[m a n  ],2600,22888.684828053185,2.0991341390142974e+07,2.1014230074971028e+07
[21 13 8 10],[m a n y],1130,22152.137155140183,2.0987809392796583e+07,2.1009961529951725e+07
[21 13 10 3],[m a y  ],1408,22582.76054883274,2.098894765713836e+07,2.1011530417687193e+07
[21 13 12 22],[m a r k],708,22231.838634094314,2.098998324565887e+07,2.1012215084292967e+07
[21 13 14 2],[m a d e],1168,22159.463140241212,2.098795394976981e+07,2.101011341291005e+07
[21 13 17 8],[m a i n],749,22076.94678849519,2.099154797451537e+07,2.1013624921303865e+07
[21 13 22 2],[m a k e],1048,22189.39532132794,2.0988310792614415e+07,2.1010500187935743e+07
[21 16 2 6],[m s e l],877,21951.87542562729,2.0981930093882892e+07,2.1003881969308518e+07
[21 17 8 11],[m i n g],810,22191.3006504755,2.0991972768397298e+07,2.101416406904777e+07
[21 17 8 13],[m i n a],687,22128.107033368717,2.0991050528564833e+07,2.10131786355982e+07
[21 17 8 17],[m i n i],647,22225.336563773028,2.0990075702284053e+07,2.1012301038847826e+07
[21 17 11 1],[m i g h],710,21919.67684996408,2.0986474330926623e+07,2.100839400777659e+07
[21 17 16 16],[m i s s],969,22257.845169174383,2.098832810611432e+07,2.1010585951283496e+07
[21 20 6 2],[m p l e],1349,22086.550490158348,2.098659142002493e+07,2.100867797051509e+07
[21 20 7 12],[m p o r],694,21940.721812612694,2.0988590274167158e+07,2.101053099597977e+07
[21 21 5 8],[m m u n],706,21958.322309842544,2.098575147284011e+07,2.1007709795149956e+07
[21 27 2 12],[m b e r],1825,22082.18915674618,2.098129079263999e+07,2.1003372981796734e+07
[22 2 3 0],[k e   t],801,22120.975448105695,2.099148659785904e+07,2.1013607573307145e+07
[22 2 3 13],[k e   a],710,22317.631579423763,2.099125132817052e+07,2.1013568959749945e+07
[22 2 14 3],[k e d  ],2155,22625.20872593804,2.0989493956429306e+07,2.1012119165155243e+07
[22 3 7 4],[k   o f],608,22074.886318163666,2.0991387848274354e+07,2.1013462734592516e+07
[22 3 25 3],[k   ,  ],902,22605.60897566804,2.0993295331348963e+07,2.101590094032463e+07
[22 8 7 26],[k n o w],1352,22103.43423849451,2.097681416139258e+07,2.0998917595631074e+07
[22 17 8 11],[k i n g],2190,22309.44096589742,2.0982556313022804e+07,2.10048657539887e+07
[23 0 1 2],[. t h e],8506,22149.13989704764,2.0968829401968796e+07,2.0990978541865844e+07
[23 0 1 17],[. t h i],1089,21986.850420004506,2.0990296728206154e+07,2.101228357862616e+07
[23 1 2 3],[. h e  ],2660,22232.551134657184,2.0988264036414485e+07,2.1010496587549143e+07
[23 13 8 14],[. a n d],748,21893.278179147335,2.0991949525129113e+07,2.101384280330826e+07
[23 16 1 2],[. s h e],828,21924.482791500453,2.099028061156228e+07,2.1012205094353784e+07
[23 17 0 3],[. i t  ],1836,22214.5890757827,2.0986116878554612e+07,2.1008331467630394e+07
[23 17 4 3],[. i f  ],612,22238.270914890345,2.0991572085396893e+07,2.1013810356311783e+07
[23 17 8 3],[. i n  ],1620,22365.423844507764,2.099097679390513e+07,2.101334221774964e+07
[23 19 19 3],[. XXX XXX  ],3580,22386.94265959493,2.0981290753314305e+07,2.10036776959739e+07
[23 26 1 2],[. w h e],621,21932.997353127965,2.0991491835644815e+07,2.1013424832997944e+07
[23 27 5 0],[. b u t],1226,21844.996372734262,2.0985186100119647e+07,2.100703109649238e+07
[24 20 2 12],[x p e r],693,21863.13593108344,2.098940730563126e+07,2.1011270441562343e+07
[25 3 0 1],[,   t h],6359,21971.739365010966,2.0990011620567318e+07,2.101198335993233e+07
[25 3 0 7],[,   t o],1054,22124.00865205283,2.09924169499136e+07,2.1014540958565652e+07
[25 3 1 2],[,   h e],1859,22115.329178827873,2.099351725685326e+07,2.101563258603209e+07
[25 3 1 13],[,   h a],674,22097.99560832684,2.0992849150289025e+07,2.101494714589735e+07
[25 3 4 7],[,   f o],909,22031.56869324061,2.0991473057464413e+07,2.1013504626157653e+07
[25 3 7 8],[,   o n],632,21956.532528560387,2.099346612158098e+07,2.101542265410954e+07
[25 3 7 12],[,   o r],788,21989.053674769235,2.0992605149913725e+07,2.1014594203588493e+07
[25 3 8 7],[,   n o],681,22108.58205809063,2.0990825917183124e+07,2.1012934499241214e+07
[25 3 9 7],[,   c o],733,22142.895879988464,2.099348517707434e+07,2.1015628072954327e+07
[25 3 13 3],[,   a  ],1301,22413.13731810349,2.0992121201616976e+07,2.101453433893508e+07
[25 3 13 8],[,   a n],6714,22068.642651110928,2.0968230545260515e+07,2.0990299187911626e+07
[25 3 13 16],[,   a s],1054,21992.30307858668,2.0992944763771445e+07,2.1014937066850033e+07
[25 3 16 1],[,   s h],714,21924.515892522228,2.0992691340253446e+07,2.1014615856145967e+07
[25 3 17 0],[,   i t],897,21922.675721824606,2.0992004013057526e+07,2.101392668877935e+07
[25 3 17 3],[,   i  ],736,22232.416530790302,2.0991407997391157e+07,2.101364041392195e+07
[25 3 17 8],[,   i n],1600,22185.329286049975,2.0992947949384373e+07,2.1015133278670423e+07
[25 3 19 19],[,   XXX XXX],1136,21884.20483925922,2.0992025870079122e+07,2.1013910074918382e+07
[25 3 26 1],[,   w h],2268,21906.334184047842,2.0989651713497788e+07,2.1011558047681835e+07
[25 3 26 2],[,   w e],638,22019.95176289257,2.0993895963648144e+07,2.1015915915411036e+07
[25 3 26 13],[,   w a],677,22033.95300030403,2.0993252003222626e+07,2.101528595622293e+07
[25 3 26 17],[,   w i],965,21994.107864994094,2.0992048598989777e+07,2.101404270685477e+07
[25 3 27 5],[,   b u],1955,22064.882857754914,2.098505018801542e+07,2.1007115070873175e+07
[26 1 2 8],[w h e n],2377,22075.686234878864,2.0985613958779093e+07,2.1007689645013973e+07
[26 1 2 12],[w h e r],1289,22022.23392282335,2.0991330845093805e+07,2.101335307901663e+07
[26 1 7 3],[w h o  ],2252,22335.694464300646,2.098464876466447e+07,2.100698445912877e+07
[26 1 13 0],[w h a t],2214,22065.03129852885,2.098452857417219e+07,2.100659360547072e+07
[26 1 17 6],[w h i l],728,22040.49973305546,2.098996055608093e+07,2.1012001055813987e+07
[26 1 17 9],[w h i c],3568,21930.477096227372,2.0968076691275172e+07,2.0990007168371398e+07
[26 2 2 8],[w e e n],739,21908.173032473453,2.0986194493611988e+07,2.100810266664446e+07
[26 2 6 6],[w e l l],1209,22284.13081252149,2.098650964856655e+07,2.1008793779379074e+07
[26 2 8 0],[w e n t],731,21992.503173447418,2.099058288313984e+07,2.101257538631329e+07
[26 2 12 2],[w e r e],3420,21975.637239190262,2.0981001766998257e+07,2.100297740423745e+07
[26 2 12 3],[w e r  ],863,22426.8226371594,2.0991557200368594e+07,2.1013984023005754e+07
[26 2 14 3],[w e d  ],682,22456.013906074775,2.0992775139876265e+07,2.101523115378234e+07
[26 3 0 1],[w   t h],880,21955.073741694316,2.0991463549295757e+07,2.101341862303745e+07
[26 3 25 3],[w   ,  ],655,22390.610559905097,2.0992664121038124e+07,2.101505473159803e+07
[26 7 5 6],[w o u l],2850,21910.85386201636,2.0968682728289384e+07,2.09905935821514e+07
[26 7 12 6],[w o r l],877,21919.25805170446,2.0985412643019125e+07,2.100733190107083e+07
[26 7 12 22],[w o r k],1515,22346.915866880747,2.0983576586003244e+07,2.1005923501870126e+07
[26 12 17 0],[w r i t],654,22142.041409498743,2.0988781818147305e+07,2.1010923859556805e+07
[26 13 0 2],[w a t e],616,22082.13328522177,2.0991591736676503e+07,2.1013673869961724e+07
[26 13 8 0],[w a n t],653,21970.57034506904,2.0992712175874673e+07,2.1014682746219743e+07
[26 13 10 3],[w a y  ],1683,22791.492122573047,2.0989162760641657e+07,2.101195425276423e+07
[26 13 10 16],[w a y s],660,22236.74797169387,2.098677448324248e+07,2.1009011231214173e+07
[26 13 12 14],[w a r d],1050,22280.235940988798,2.0987207292928107e+07,2.1009487528869096e+07
[26 13 16 3],[w a s  ],9816,22562.37195802683,2.0954826535252005e+07,2.0977388907210033e+07
[26 17 0 1],[w i t h],8306,22148.80569818518,2.0939380734799325e+07,2.096152954049751e+07
[26 17 6 6],[w i l l],2625,22143.315559334544,2.097714791267406e+07,2.0999291228233393e+07
[26 17 8 11],[w i n g],866,22159.89660955139,2.0991415619471792e+07,2.1013575516081344e+07
[27 2 0 26],[b e t w],730,21919.229137873426,2.098657031483092e+07,2.1008489543968797e+07
[27 2 2 8],[b e e n],2472,21841.117030076468,2.0976184373675656e+07,2.0998025490705732e+07
[27 2 3 13],[b e   a],957,22295.391677410287,2.0993340199760456e+07,2.1015635591437865e+07
[27 2 3 16],[b e   s],662,22244.368195227402,2.0992921368222333e+07,2.101516573641756e+07
[27 2 4 7],[b e f o],1021,21991.537846378615,2.0986249362525523e+07,2.10082409003719e+07
[27 2 9 13],[b e c a],1130,21998.609295095088,2.098372235925544e+07,2.1005720968550537e+07
[27 2 12 3],[b e r  ],1244,22707.13943010922,2.098778798999432e+07,2.101049512942443e+07
[27 2 12 16],[b e r s],625,22007.5839979411,2.098997293520488e+07,2.101198051920282e+07
[27 2 17 8],[b e i n],772,21976.745201785146,2.098898634856863e+07,2.1010963093770415e+07
[27 5 0 3],[b u t  ],4401,22503.36830151882,2.097078868254766e+07,2.0993292050849177e+07
[27 6 2 3],[b l e  ],3814,22679.564126071124,2.097652547742522e+07,2.0999205041551292e+07
[27 6 10 3],[b l y  ],847,22479.63202279812,2.0992112567735367e+07,2.1014592199758165e+07
[27 6 17 9],[b l i c],769,21968.38067735203,2.0986252090876963e+07,2.1008220471554317e+07
[27 7 0 1],[b o t h],777,21956.494172163973,2.0989736592909496e+07,2.101169308708166e+07
[27 7 5 0],[b o u t],1843,21969.562170696667,2.097817829913257e+07,2.1000147861303266e+07
[27 10 3 0],[b y   t],1696,22210.304614833563,2.098973172159592e+07,2.1011942026210755e+07
[27 10 3 13],[b y   a],779,22381.566315764987,2.0992532974004254e+07,2.101491454032002e+07
[27 13 9 22],[b a c k],1229,22404.79466532447,2.0984049255956627e+07,2.1006454050621953e+07
[27 15 2 9],[b j e c],622,21898.90325541257,2.0984614027614124e+07,2.100651293086954e+07
[27 17 6 17],[b i l i],760,22050.216371700826,2.0986521443274796e+07,2.1008571659646496e+07
[28 2 14 3],[z e d  ],769,22441.96498786566,2.0991487687300727e+07,2.1013929652288593e+07
[29 5 2 16],[q u e s],772,22098.211516035608,2.0988226949389838e+07,2.101032516090587e+07
[29 5 17 12],[q u i r],625,22047.7633703296,2.098824923176642e+07,2.1010296995136753e+07
[41 3 41 0],[;   ; t],607,21962.36359072175,2.0987502097348016e+07,2.1009464460938737e+07
[0 0 2 12 3],[t t e r  ],1202,22425.562917590025,2.0985010919471636e+07,2.1007436482389227e+07
[0 0 6 2 3],[t t l e  ],1149,22492.30490134471,2.098281951393205e+07,2.1005311818833396e+07
[0 0 17 8 11],[t t i n g],671,22022.180206643246,2.0988600783976667e+07,2.101062296418331e+07
[0 1 2 3 0],[t h e   t],3576,22355.40131504832,2.0988536830466628e+07,2.1010892231781676e+07
[0 1 2 3 1],[t h e   h],2216,22138.93004868016,2.0989074747348666e+07,2.1011213677397348e+07
[0 1 2 3 2],[t h e   e],2839,22398.545904260758,2.0981298074140053e+07,2.1003696620044313e+07
[0 1 2 3 4],[t h e   f],4199,22269.74154720091,2.0978031847097024e+07,2.1000301588644225e+07
[0 1 2 3 5],[t h e   u],1446,22193.034359023837,2.0986480173007153e+07,2.1008673207366176e+07
[0 1 2 3 6],[t h e   l],2773,22159.774272838593,2.0982773342661563e+07,2.10049331169344e+07
[0 1 2 3 7],[t h e   o],2508,22481.73425238582,2.098908344758382e+07,2.1011565181836206e+07
[0 1 2 3 8],[t h e   n],2365,22221.35892942783,2.098181790489973e+07,2.100403926382916e+07
[0 1 2 3 9],[t h e   c],6102,22336.718934179662,2.097270035148048e+07,2.099503707041466e+07
[0 1 2 3 11],[t h e   g],2120,22162.3045190059,2.0984997719447136e+07,2.100716002396614e+07
[0 1 2 3 12],[t h e   r],3407,22285.21738501317,2.098041512889697e+07,2.1002700346281983e+07
[0 1 2 3 13],[t h e   a],3615,22574.787215292996,2.0988763458629686e+07,2.101133824584498e+07
[0 1 2 3 14],[t h e   d],3169,22247.700888809857,2.0980649289959162e+07,2.100289699084797e+07
[0 1 2 3 16],[t h e   s],7780,22461.13778169875,2.0964219398927286e+07,2.0986680536708985e+07
[0 1 2 3 17],[t h e   i],1950,22336.96651482194,2.0990324750652034e+07,2.1012661717166856e+07
[0 1 2 3 18],[t h e   v],968,22108.394108304125,2.0990020654617157e+07,2.101212904872546e+07
[0 1 2 3 20],[t h e   p],5736,22281.191927542244,2.0973383813103132e+07,2.0995665005030673e+07
[0 1 2 3 21],[t h e   m],4126,22300.40508774779,2.0979962130010363e+07,2.100226253509811e+07
[0 1 2 3 26],[t h e   w],2968,22190.489426106284,2.0987973334467616e+07,2.1010163823893722e+07
[0 1 2 3 27],[t h e   b],3466,22298.597483654317,2.0984766330209315e+07,2.100706492769297e+07
[0 1 2 8 3],[t h e n  ],1399,22535.495770290123,2.09930896725284e+07,2.101562516829869e+07
[0 1 2 10 3],[t h e y  ],3625,22440.599034590698,2.0978089454731505e+07,2.1000530053766098e+07
[0 1 2 12 2],[t h e r e],3262,22418.429768324153,2.0986290676378995e+07,2.100870910614732e+07
[0 1 2 12 3],[t h e r  ],4719,22628.32382694856,2.097998732941666e+07,2.100261565324361e+07
[0 1 2 16 2],[t h e s e],1579,22019.29318819526,2.0988355606472082e+07,2.1010374899660278e+07
[0 1 2 17 12],[t h e i r],2691,21939.198733437453,2.0967439540238265e+07,2.0989378738971703e+07
[0 1 2 21 3],[t h e m  ],1789,22375.89564641046,2.098690003858969e+07,2.10092759342361e+07
[0 1 3 0 1],[t h   t h],2049,22193.954329677345,2.0985328755127344e+07,2.100752270945702e+07
[0 1 3 13 3],[t h   a  ],938,22530.531848899183,2.098805864064836e+07,2.101058917249726e+07
[0 1 7 5 11],[t h o u g],1366,22008.784648831785,2.098135475178314e+07,2.1003363536431972e+07
[0 1 7 16 2],[t h o s e],850,21940.36041196303,2.0988150542423874e+07,2.101009090283584e+07
[0 1 12 2 2],[t h r e e],715,22016.459499287615,2.0987973352219567e+07,2.1009989811718855e+07
[0 1 12 7 5],[t h r o u],1123,21965.20978862061,2.0981071902128372e+07,2.1003037111916993e+07
[0 1 13 0 3],[t h a t  ],10592,22630.49734531087,2.0941961372559216e+07,2.0964591869904526e+07
[0 1 13 8 3],[t h a n  ],1811,22536.717078245536,2.099097221748848e+07,2.1013508934566725e+07
[0 1 17 8 11],[t h i n g],2124,22103.546136493027,2.098304509633521e+07,2.1005148642471705e+07
[0 1 17 8 22],[t h i n k],629,22029.333298931975,2.0990096721609645e+07,2.1012126054908577e+07
[0 1 17 16 3],[t h i s  ],5144,22690.514529781547,2.0976794782664318e+07,2.09994852971941e+07
[0 2 6 10 3],[t e l y  ],672,22610.271535650794,2.099105695928788e+07,2.101366723082353e+07
[0 2 12 2 16],[t e r e s],621,21932.29182194069,2.0988823939337555e+07,2.1010756231159497e+07
[0 2 12 3 0],[t e r   t],780,22302.694158964972,2.0989578647611883e+07,2.1011881341770846e+07
[0 2 12 3 13],[t e r   a],605,22500.59049269916,2.099115759670576e+07,2.101365818719846e+07
[0 2 12 16 3],[t e r s  ],1029,22754.522362478387,2.0990093632453155e+07,2.1012848154815633e+07
[0 2 14 3 0],[t e d   t],1698,22312.30359356193,2.0987085491821498e+07,2.100939779541506e+07
[0 2 14 3 13],[t e d   a],824,22449.067434839762,2.0992018126596883e+07,2.1014467194031723e+07
[0 2 14 3 16],[t e d   s],643,22440.078733155075,2.0990839880587183e+07,2.1013279959320337e+07
[0 2 14 3 17],[t e d   i],772,22345.628303744386,2.09907795557143e+07,2.1013125184018046e+07
[0 2 14 3 27],[t e d   b],676,22251.20683043522,2.099025665069827e+07,2.1012507857528705e+07
[0 3 0 1 2],[t   t h e],7435,22305.59468245713,2.0969650034626268e+07,2.0991955629308727e+07
[0 3 0 1 13],[t   t h a],1181,22205.570970109045,2.0989639423126213e+07,2.1011844994096324e+07
[0 3 0 1 17],[t   t h i],698,22301.364877597513,2.0992059768905565e+07,2.101436113378316e+07
[0 3 0 7 3],[t   t o  ],2775,22750.68120961603,2.0980929276316572e+07,2.100367995752619e+07
[0 3 1 2 3],[t   h e  ],1159,22585.166450123073,2.0991052496045776e+07,2.10136376624959e+07
[0 3 1 17 16],[t   h i s],619,22243.828867715172,2.099095678324735e+07,2.1013200612115066e+07
[0 3 4 7 12],[t   f o r],1110,22385.89077956777,2.0987805750414897e+07,2.1010191641194463e+07
[0 3 7 4 3],[t   o f  ],4898,22869.631737666597,2.0970675255446274e+07,2.0993544887183942e+07
[0 3 7 8 3],[t   o n  ],755,22702.44019257603,2.099232408159538e+07,2.1015026521787956e+07
[0 3 13 8 14],[t   a n d],1636,22344.01597839768,2.098866679569443e+07,2.1011010811672825e+07
[0 3 13 16 3],[t   a s  ],634,22666.943684672413,2.099315395885467e+07,2.1015820902539343e+07
[0 3 17 0 3],[t   i t  ],1171,22669.390544937472,2.0988950621218704e+07,2.101162001176364e+07
[0 3 17 8 3],[t   i n  ],1904,22762.76492580532,2.0989087654341165e+07,2.101185041926697e+07
[0 3 17 16 3],[t   i s  ],2483,22773.681979949648,2.0984290657401137e+07,2.1007064339381088e+07
[0 3 19 19 3],[t   XXX XXX  ],1406,22818.297679808747,2.0989819181344315e+07,2.1012637479024123e+07
[0 3 23 0 1],[t   . t h],846,22357.67722324478,2.0992135042838905e+07,2.101449272006215e+07
[0 3 25 3 0],[t   ,   t],653,22436.12005458772,2.0993306657874107e+07,2.1015742777928695e+07
[0 3 25 3 13],[t   ,   a],932,22553.15904889851,2.0992491331829347e+07,2.1015044490878247e+07
[0 3 26 13 16],[t   w a s],2042,22229.506938408562,2.0981187872190677e+07,2.1003417379129086e+07
[0 3 26 17 0],[t   w i t],677,22281.901026467658,2.0990917472924832e+07,2.10131993739513e+07
[0 3 27 2 3],[t   b e  ],967,22580.07710424468,2.0991030347923044e+07,2.101361042502729e+07
[0 5 12 2 3],[t u r e  ],1562,22584.076423333976,2.098611521325945e+07,2.1008699289682787e+07
[0 7 3 0 1],[t o   t h],4984,22292.92592213911,2.096724044785509e+07,2.098953337377723e+07
[0 7 3 1 17],[t o   h i],701,22011.571123262744,2.0988807247379042e+07,2.1010818818502303e+07
[0 7 3 9 7],[t o   c o],706,22237.299964119215,2.0989840985835847e+07,2.1012078285799965e+07
[0 7 3 12 2],[t o   r e],861,22336.322460320767,2.098779317885844e+07,2.101012950131876e+07
[0 7 3 13 3],[t o   a  ],887,22320.746763034833,2.0988788300711613e+07,2.101110904747465e+07
[0 7 3 27 2],[t o   b e],1979,22179.05231272421,2.098115530563209e+07,2.1003334357944813e+07
[0 7 12 10 3],[t o r y  ],857,22557.572727527408,2.0990564964088958e+07,2.1013122536816485e+07
[0 7 12 16 3],[t o r s  ],600,22536.36162215677,2.099179512802406e+07,2.101433148964622e+07
[0 10 3 7 4],[t y   o f],911,22116.234617375187,2.0987343540704794e+07,2.100945977532217e+07
[0 10 3 25 3],[t y   ,  ],725,22548.85030410371,2.0991968011352323e+07,2.1014516861656427e+07
[0 13 0 2 3],[t a t e  ],956,22451.735986292708,2.098856469495092e+07,2.1011016430937212e+07
[0 13 0 2 16],[t a t e s],671,21969.286883314515,2.098819083679458e+07,2.1010160123677894e+07
[0 13 0 17 7],[t a t i o],928,22125.70242748513,2.0986298518718444e+07,2.1008424221145928e+07
[0 13 8 0 3],[t a n t  ],700,22503.944039370675,2.099026349654162e+07,2.101276744058099e+07
[0 13 8 9 2],[t a n c e],732,22088.799739012808,2.0988117633099996e+07,2.101020643283901e+07
[0 13 12 10 3],[t a r y  ],601,22416.821067752153,2.0990544972298417e+07,2.1012961793366168e+07
[0 13 17 8 3],[t a i n  ],768,22571.6466533826,2.0989229684246074e+07,2.101180133089946e+07
[0 13 22 2 3],[t a k e  ],694,22462.248944346164,2.099016312925895e+07,2.1012625378203295e+07
[0 13 27 6 2],[t a b l e],696,22315.815334690742,2.09889068643825e+07,2.1011222679717194e+07
[0 16 3 7 4],[t s   o f],1009,22161.671136025412,2.0987393695543293e+07,2.100955536667932e+07
[0 16 3 25 3],[t s   ,  ],1073,22694.40769200401,2.0991323037948526e+07,2.101401744564053e+07
[0 17 2 16 3],[t i e s  ],1414,22575.996720294494,2.0985072000864252e+07,2.1007647997584548e+07
[0 17 6 6 3],[t i l l  ],834,22382.03951569182,2.0988576641427312e+07,2.1010958680943005e+07
[0 17 7 8 3],[t i o n  ],11739,22674.226264916702,2.0902696398146186e+07,2.0925370624411102e+07
[0 17 7 8 13],[t i o n a],1709,22144.21894028298,2.0977394896019172e+07,2.0999539114959456e+07
[0 17 7 8 16],[t i o n s],3499,22216.016051847644,2.0963618568060216e+07,2.0985834584112063e+07
[0 17 8 11 3],[t i n g  ],4072,22697.237943414868,2.0981019001662865e+07,2.100371623960628e+07
[0 17 9 13 6],[t i c a l],883,22133.577837738812,2.0988027374230146e+07,2.1010160952067886e+07
[0 17 18 2 3],[t i v e  ],1923,22513.76841200581,2.098642779079446e+07,2.1008941559206463e+07
[0 17 21 2 3],[t i m e  ],1789,22697.54964250963,2.0986572543041024e+07,2.1009270092683535e+07
[0 21 2 8 0],[t m e n t],828,22124.76953683024,2.0983976465445664e+07,2.1006101234982494e+07
[0 26 2 2 8],[t w e e n],730,21844.807823120398,2.0982688386593267e+07,2.100453319441639e+07
[1 2 3 0 1],[h e   t h],798,22103.48029608082,2.099433216939706e+07,2.101643564969314e+07
[1 2 3 0 7],[h e   t o],600,22248.1114033213,2.099317087001722e+07,2.101541898142054e+07
[1 2 3 0 12],[h e   t r],838,22059.47870417189,2.0991076823042102e+07,2.1013136301746275e+07
[1 2 3 1 7],[h e   h o],737,22164.428889960855,2.0991574891124185e+07,2.1013739320014145e+07
[1 2 3 1 13],[h e   h a],1949,22273.810037144303,2.0984140038348317e+07,2.100641384838546e+07
[1 2 3 2 8],[h e   e n],726,22173.24018454587,2.099114565284948e+07,2.1013318893034026e+07
[1 2 3 4 7],[h e   f o],849,22187.294706301785,2.0991476421738926e+07,2.101366371644523e+07
[1 2 3 4 13],[h e   f a],827,22109.40299777687,2.099001138852251e+07,2.1012120791520286e+07
[1 2 3 4 17],[h e   f i],1405,22153.5531476412,2.0986837087872393e+07,2.1008990641020034e+07
[1 2 3 5 8],[h e   u n],940,22304.891336044,2.098729470706445e+07,2.1009599598400492e+07
[1 2 3 6 7],[h e   l o],740,22271.886778344175,2.0990648684022736e+07,2.101292057080108e+07
[1 2 3 6 13],[h e   l a],999,22277.066601236773,2.0989872302562524e+07,2.101214936916376e+07
[1 2 3 6 17],[h e   l i],744,22221.094741024295,2.099130130775385e+07,2.1013522402494874e+07
[1 2 3 8 2],[h e   n e],1174,22189.03857142837,2.0985279759242754e+07,2.1007468797814183e+07
[1 2 3 9 1],[h e   c h],975,22028.459444453216,2.0991056048162766e+07,2.1013084507607218e+07
[1 2 3 9 7],[h e   c o],3299,22363.19397483204,2.098267472771036e+07,2.100503792168519e+07
[1 2 3 9 13],[h e   c a],1105,22284.611114568437,2.09913544933616e+07,2.101363910447617e+07
[1 2 3 11 12],[h e   g r],802,22029.00839860168,2.098998274384696e+07,2.101201175224556e+07
[1 2 3 12 2],[h e   r e],2141,22360.054367745455,2.0985059678288683e+07,2.100741973265643e+07
[1 2 3 14 2],[h e   d e],1130,22314.8373441075,2.098939577193035e+07,2.101171060927446e+07
[1 2 3 14 17],[h e   d i],1177,22249.032313311196,2.0988765326610446e+07,2.1011014358923756e+07
[1 2 3 16 0],[h e   s t],1946,22092.600535019654,2.098583723788972e+07,2.100792983842474e+07
[1 2 3 16 2],[h e   s e],1159,22232.44229185536,2.099012415253677e+07,2.1012356594828624e+07
[1 2 3 16 5],[h e   s u],816,22170.212752748703,2.0990581188140832e+07,2.101275140089358e+07
[1 2 3 16 7],[h e   s o],795,22248.737842290942,2.099079738767666e+07,2.101304612551895e+07
[1 2 3 16 13],[h e   s a],1742,22295.391256696246,2.098264510329562e+07,2.1004940494552318e+07
[1 2 3 16 17],[h e   s i],617,22173.44449548522,2.0991785322341405e+07,2.101395876683689e+07
[1 2 3 17 8],[h e   i n],1314,22353.09552455833,2.0991288842782013e+07,2.101364193830657e+07
[1 2 3 20 7],[h e   p o],959,22209.956281506584,2.0990053438895576e+07,2.101226339517708e+07
[1 2 3 20 12],[h e   p r],1997,21979.11483923215,2.098574514005991e+07,2.1007724254899144e+07
[1 2 3 20 13],[h e   p a],1052,22219.431270556262,2.0990752367678426e+07,2.101297179894898e+07
[1 2 3 21 2],[h e   m e],764,22190.94034023326,2.099236529841044e+07,2.1014556238750674e+07
[1 2 3 21 7],[h e   m o],1299,22142.962877430513,2.098852134625222e+07,2.101066430912965e+07
[1 2 3 21 13],[h e   m a],1478,22328.098150357335,2.0989729209581e+07,2.1012057307731356e+07
[1 2 3 21 17],[h e   m i],629,22110.482432117595,2.0992091820290394e+07,2.101420230272251e+07
[1 2 3 26 7],[h e   w o],1414,22133.189818564726,2.0989054565201085e+07,2.101118775501965e+07
[1 2 3 26 13],[h e   w a],2559,22219.969825711614,2.0984372745936148e+07,2.100659271576186e+07
[1 2 3 27 2],[h e   b e],812,22226.69018844245,2.0992655736100107e+07,2.101488242628855e+07
[1 2 3 27 7],[h e   b o],702,22159.06277373604,2.0990986773292366e+07,2.10131458360661e+07
[1 2 3 27 13],[h e   b a],827,22174.023004679857,2.0991458381724674e+07,2.1013632404729355e+07
[1 2 8 3 0],[h e n   t],898,22021.82614666315,2.0990507398121018e+07,2.101252922426768e+07
[1 2 10 3 26],[h e y   w],718,21923.587896564077,2.0990237898009323e+07,2.1012161485905886e+07
[1 2 12 2 3],[h e r e  ],4757,22559.71647478161,2.0985426333816886e+07,2.100798605029167e+07
[1 2 12 3 0],[h e r   t],898,22157.277846743156,2.099295020039218e+07,2.101510747823892e+07
[1 2 12 3 13],[h e r   a],614,22339.124205373864,2.0993561280410074e+07,2.1015900404615447e+07
[1 2 12 3 16],[h e r   s],609,22223.391494363703,2.0992604469075568e+07,2.101482786056993e+07
[1 2 12 16 3],[h e r s  ],620,22417.435140390327,2.099336973693104e+07,2.101578717207143e+07
[1 2 13 14 3],[h e a d  ],613,22599.66935294287,2.0991040167435296e+07,2.1013639836788237e+07
[1 2 16 2 3],[h e s e  ],1573,22375.2132306012,2.0990228257776268e+07,2.101260347100687e+07
[1 2 17 12 3],[h e i r  ],2676,22441.177660413876,2.097036605543782e+07,2.099280723309823e+07
[1 3 0 1 2],[h   t h e],3022,22114.08631954943,2.0984035600379985e+07,2.1006149686699536e+07
[1 3 7 4 3],[h   o f  ],759,22462.49823635392,2.0990984260660227e+07,2.101344675889658e+07
[1 7 5 0 3],[h o u t  ],733,22358.82413831632,2.0990981216734674e+07,2.101334004087299e+07
[1 7 5 6 14],[h o u l d],1035,21890.114874128874,2.098326254499913e+07,2.100515265987326e+07
[1 7 5 11 1],[h o u g h],1378,21898.97818968285,2.097943205739098e+07,2.1001331035580665e+07
[1 7 5 16 2],[h o u s e],846,22389.12853270187,2.0987622346537724e+07,2.1010011475070424e+07
